---------- KRW-BTC ---------
------- 3 -------
---------- KRW-BTG ---------
------- 3 -------
0.1 1.013556
0.2 0.999859
0.3 0.986509
0.4 0.973495
0.5 0.960803
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.013556
------- 4 -------
0.1 0.935943
0.2 0.906729
0.3 0.986509
0.4 0.973495
0.5 0.960803
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.6 1.000000
------- 5 -------
0.1 0.845209
0.2 0.785708
0.3 0.986509
0.4 0.973495
0.5 0.960803
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.6 1.000000
------- 6 -------
0.1 0.927213
0.2 0.828310
0.3 1.000813
0.4 0.951626
0.5 0.906089
0.6 0.910810
0.7 0.880595
0.8 0.852222
0.9 0.825528
high k
0.3 1.000813
------- 7 -------
0.1 0.650432
0.2 0.828310
0.3 1.000813
0.4 0.951626
0.5 0.906089
0.6 0.910810
0.7 0.880595
0.8 0.852222
0.9 0.825528
